external_evidence_id,publication_id,EnsemblID,displayed_gene_symbol,disease_context,histology_specificity,evidence_domain,evidence_type,experimental_modality,biological_question,model_system,dataset_or_cohort,intervention_or_perturbation,comparator,outcome,direction_of_observation,qualitative_result,quantitative_result,statistical_result,source_location,evidence_status,major_limitation,provenance_completeness_status
EXT_9137088_01,PUB_PMID_9137088,ENSG00000099953.9,MMP11,lung carcinoma,ADENOCARCINOMA_INCLUDED_NOT_SEPARATED,B_PROTEIN_TISSUE,IN_SITU_AND_IHC,in situ hybridization and IHC,Where is MMP11 expressed in lung carcinomas?,89 human lung carcinomas,COHORT_1997_LUNG_89,NONE,Histologic groups,Stromal/epithelial MMP11,PREDOMINANTLY_STROMAL,MMP11 was more often stromal; 23 adenocarcinomas were included.,89 total; 23 adenocarcinoma,Descriptive,Abstract/Results,INSUFFICIENTLY_SPECIFIC,Key MMP11 associations were not stratified for adenocarcinoma.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_9137088_02,PUB_PMID_9137088,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED,C_CLINICAL_ASSOCIATION,TUMOUR_SIZE_NODE_ASSOCIATION,clinicopathological association,Is stromal MMP11 associated with tumour size or nodal involvement?,Non-NE NSCLC,COHORT_1997_LUNG_89,NONE,Clinical strata,Tumour size and lymph-node involvement,POSITIVE_ASSOCIATION,Stromal MMP11 was linked to tumour size and nodal involvement.,NOT_REPORTED,p=0.03 and p=0.02,Abstract/Results,INSUFFICIENTLY_SPECIFIC,"Non-NE aggregate, not LUAD-specific.",COMPLETE_PRIMARY_SOURCE_TRACE
EXT_7664289_01,PUB_PMID_7664289,ENSG00000099953.9,MMP11,NSCLC,ADENOCARCINOMA_INCLUDED_NOT_SEPARATED,A_TRANSCRIPTOMIC_EXPRESSION,TISSUE_EXPRESSION,RNA/protein tissue analysis,Is MMP11 more abundant in NSCLC than adjacent normal lung?,Stage I-III NSCLC tissue,COHORT_1995_NSCLC,NONE,Adjacent normal,MMP11 transcript/protein,TUMOUR_HIGHER,Transcript and protein were more abundant in NSCLC.,Cohort includes squamous and adenocarcinoma,Reported significant,Abstract/Results,INSUFFICIENTLY_SPECIFIC,Histology-specific estimates unavailable.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_7664289_02,PUB_PMID_7664289,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED,B_PROTEIN_TISSUE,CELLULAR_LOCALIZATION,tissue localization,Which compartment contains MMP11 in NSCLC?,Human NSCLC tissue,COHORT_1995_NSCLC,NONE,Tumour compartments,MMP11 localization,PREDOMINANTLY_STROMAL,MMP11 was primarily localized to stromal elements.,NOT_REPORTED,Descriptive,Abstract/Results,INSUFFICIENTLY_SPECIFIC,Mixed histology and historical assay context.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_17310584_01,PUB_PMID_17310584,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED,C_CLINICAL_ASSOCIATION,SURVIVAL_ASSOCIATION,stromal IHC survival analysis,Is stromal MMP11 associated with cancer-related survival in stage-I NSCLC?,80 resected stage-I NSCLC cases,COHORT_2007_NSCLC_80,NONE,Expression strata,Cancer-related survival,NO_STATISTICALLY_SIGNIFICANT_ASSOCIATION,"The source described a near-significant relation, not a significant result.",n=80,Near-significant; exact p not in abstract,Abstract,OBSERVED_NULL,Mixed histology; treating near-significance as supportive would be misleading.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_14647437_01,PUB_PMID_14647437,ENSG00000099953.9,MMP11,lung cancer,NOT_LUAD_SEPARATED,C_CLINICAL_ASSOCIATION,RECURRENCE_EXPRESSION,microarray plus validation,Is MMP11 consistently higher in recurrent stage-IB lung cancer?,20 stage-IB lung cancers,COHORT_2004_STAGEIB_20,NONE,Non-recurrent cases,MMP11 expression,NOT_VALIDATED_AS_GROUP_DIFFERENCE,MMP11 was up in one recurrent case; only MMP10 and MMP12 validated as significant group findings.,10 recurrent; 10 non-recurrent,No MMP11 group significance reported,Abstract/Results,OBSERVED_NULL,Small mixed-histology cohort; MMP11 was not a validated recurrence marker.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_15036884_01,PUB_PMID_15036884,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,HISTOLOGY_RESOLVED_TISSUE,expression profiling,Is MMP11 upregulated in lung adenocarcinoma tissue?,Human adenocarcinoma and squamous tissue,COHORT_2004_ADC_SCC_26,NONE,Normal lung,MMP11 expression,TUMOUR_HIGHER,MMP11 was reported among genes upregulated in both histologies.,13 adenocarcinoma; 13 squamous,Study-defined differential expression,Results,OBSERVED_SUPPORTIVE,Small cohort and historical profiling platform.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_18793406_01,PUB_PMID_18793406,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED,C_CLINICAL_ASSOCIATION,STAGE_COMPARISON,qPCR validation,Is MMP11 higher in stage II than stage I NSCLC?,Stage I/II NSCLC,COHORT_2008_NSCLC_64,NONE,Stage I,MMP11 expression,HIGHER_IN_STAGE_II,MMP11 was reported higher in stage II.,3.68-fold,Source validation table,Table 2/Results,INSUFFICIENTLY_SPECIFIC,"Mixed 33 squamous, 23 adenocarcinoma, and 8 other cases; no LUAD-stratified result.",COMPLETE_PRIMARY_SOURCE_TRACE
EXT_9417124_01,PUB_PMID_9417124,ENSG00000099953.9,MMP11,NSCLC,UNRESOLVED,E_MECHANISTIC,TUMOUR_STROMA_COCULTURE,co-culture,Can NSCLC cells induce MMP11 secretion by pulmonary fibroblasts?,NSCLC–normal pulmonary fibroblast co-culture,MODEL_1998_COCULTURE,Tumour/stroma co-culture,Fibroblasts alone,MMP11 secretion/processing,INDUCED_IN_FIBROBLASTS,Co-culture induced fibroblast MMP11 secretion; processing context was assessed.,NOT_REPORTED,Source tests,Abstract/Results,CONTEXT_DEPENDENT,Histology unresolved; model does not isolate LUAD-specific signalling.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_15509588_01,PUB_PMID_15509588,ENSG00000099953.9,MMP11,NSCLC,UNRESOLVED,E_MECHANISTIC,SIGNALLING_IN_COCULTURE,co-culture plus kinase perturbation,Which PKC pathways mediate tumour-cell induction of fibroblast MMP11?,NSCLC–pulmonary fibroblast co-culture,MODEL_2005_COCULTURE,PKC-alpha/epsilon modulation,Matched controls,Fibroblast MMP11 induction,PKC_DEPENDENT_INDUCTION,PKC-alpha and PKC-epsilon were required for MMP11 induction.,NOT_REPORTED,Source tests,Abstract/Results,CONTEXT_DEPENDENT,Histology unresolved; stromal induction model is not direct tumour-cell dependency.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_15536641_01,PUB_PMID_15536641,ENSG00000099953.9,MMP11,lung cancer,UNRESOLVED,E_MECHANISTIC,DOWNSTREAM_READOUT,betaTrCP restoration,Does betaTrCP restoration alter active MMP11 and motility?,Lung-cancer cell lines,MODEL_BTRCP_LUNG,betaTrCP restoration,Control,Active MMP11 and motility,DECREASED_WITH_BTRCP_RESTORATION,Active MMP11 and motility decreased after betaTrCP restoration.,NOT_REPORTED,Source tests,Results,CONTEXT_DEPENDENT,MMP11 was downstream and not directly perturbed; LUAD identity unresolved.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_19949890_01,PUB_PMID_19949890,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,E_MECHANISTIC,COMPUTATIONAL_NETWORK,integrative biocomputation,How is MMP11 placed in a computed SPP1 upstream network?,LUAD vs adjacent-normal expression,DATASET_2010_UNRESOLVED,NONE,Adjacent normal network,Network-edge assignment,CONTEXT_SPECIFIC_NETWORK_CHANGE,MMP11 appeared in different inferred modules/edge directions between contexts.,No direct perturbation,Algorithmic result,Abstract/Results,CONTEXT_DEPENDENT,Underlying dataset and inferred edges require source-specific reconstruction; no causal perturbation.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_23659968_01,PUB_PMID_23659968,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,PRIMARY_GEO_COHORT,microarray,Is MMP11 expression observed in smoking-stratified LUAD vs normal comparisons?,Human LUAD/normal tissue,GSE43458,NONE,Normal lung,MMP11 expression record availability,TUMOUR_ASSOCIATED_RECORD_AVAILABLE,The primary dataset supports LUAD-versus-normal contrasts used by downstream reanalyses.,40 never-smoker LUAD; 40 smoker LUAD; 30 normal,Not re-estimated in Task #039B,GEO GSE43458 and linked publication,OBSERVED_SUPPORTIVE,Task #039B preserves the source record but does not recompute expression statistics.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_15653641_01,PUB_PMID_15653641,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,PRIMARY_ARRAY_COHORT,microarray,Is a primary LUAD-versus-normal transcriptomic dataset available?,Human LUAD/normal tissue,E-MEXP-231,NONE,Normal lung,MMP11 expression record availability,TUMOUR_ASSOCIATED_RECORD_AVAILABLE,A LUAD-versus-normal source record is present in the frozen Open Targets/Expression Atlas lineage.,Cohort details retained by source,Not re-estimated in Task #039B,Publication and Expression Atlas accession,OBSERVED_SUPPORTIVE,Array accession is not GEO; raw values were not retrieved in this task.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_25141350_01,PUB_PMID_25141350,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,PRIMARY_GEO_COHORT,microarray,Is a LUAD development-related transcriptomic cohort available?,Human lung/LUAD developmental context,GSE43767,NONE,Source-defined controls,MMP11 expression record availability,TUMOUR_ASSOCIATED_RECORD_AVAILABLE,A LUAD-versus-normal source record is present in the frozen Open Targets/Expression Atlas lineage.,113 GEO samples,Not re-estimated in Task #039B,GEO GSE43767 and linked publication,CONTEXT_DEPENDENT,Developmental and tumour contexts are mixed; Task #039B does not recompute contrasts.,COMPLETE_PRIMARY_SOURCE_TRACE
